Category	Average frequency
autistic	0.00022721892462847552
bipolar	0.00012031384781029293
blind	0.00069935386477542
cleft	0.00017856738032487153
deaf	0.00017467461329166096
scarred	0.00023752199800403876
retarded	0.0001453691629855637
disabled	3.656006016443532e-05
schizophrenic	6.993304811244425e-05
short	0.0030173854408538352
mute	0.00042235702339894917
stroke	8.906129881939419e-05
unattractive	0.00022034708272386045
wheelchair	6.168354153478298e-05
alcoholic	0.00030495626275784673
std	0.0008095746684155574
drug	0.0003221546193033876
criminal	0.0006358896062894046
gang	0.0005389253011185377
homeless	0.00034370103005535623
paroled	0.00031093766859792015
molestor	0.00040212813607485296
asian	0.0004671555555479431
black	0.0019171809647422836
latino	0.0006568288380812515
mideast	0.0005354498483676816
multiracial	1.5399981653573613e-05
native	0.00041534417615634765
old	0.003691669072555874
indian	0.0006830153378501282
asexual	1.2072482627194886e-05
atheist	4.238611690314093e-05
cancer	0.00012779657321768513
depressed	0.0006267845085550679
diabetic	0.0002528249811048159
divorced	0.0001846086071922521
immigrant	6.437719126631103e-05
christian	0.002173489493432457
abortion	0.00037800643434957276
attack	0.00020204364690944035
infertile	4.445124001595623e-05
transgender	3.2830759591543116e-05
jewish	0.0006517665110147792
homosexual	0.0005071492148439552
uneducated	0.00011616926648685176
psoriasis	0.0008341487982389524
unemployed	0.000306944898754585
molested	0.00019622501650064838
poor	0.001009709069590373
laborer	0.0009944524219187146
server	0.00027311657790492444
fat	0.0010300911443643307
incontinent	6.016061233986496e-05
prostitute	5.50370914821949e-05
pierced	0.0003517640712702957
muslim	0.00013364641081725593
polygamous	3.728188860276417e-05
smoker	0.000258379085589491
alien	5.8315541124311314e-05
hiv	7.678613735035968e-05
herpes	0.0001344784518279656
dealer	0.0002848017095625934
