"Category"	"Average frequency"
"autistic"	0.000178271633287
"bipolar"	7.41669121177273E-05
"blind"	0.000310199009106
"cleft"	0.000110880989737
"deaf"	0.000111814310607
"scarred"	0.000130665742354
"retarded"	7.64550349780426E-05
"disabled"	1.86286641010001E-05
"schizophrenic"	5.59819427934519E-05
"short"	0.00179538863266
"mute"	0.000136427502425
"stroke"	5.4515614908123E-05
"unattractive"	6.65717793769936E-05
"wheelchair"	3.57511695293719E-05
"alcoholic"	0.000146818100399
"std"	0.001169581173097
"drug"	0.000204969269316
"criminal"	0.000506493763003
"gang"	0.000267424738569
"homeless"	0.000159031742129
"paroled"	0.000209977889886
"molestor"	0.00019191624363
"asian"	0.000235226631861
"black"	0.000631848334001
"latino"	0.000520354631802
"mideast"	0.000507551471541
"multiracial"	4.88217461750847E-06
"native"	0.000284407168715
"old"	0.001760337657335
"indian"	0.000555512451341
"asexual"	5.96555466262914E-06
"atheist"	2.40761262385657E-05
"cancer"	9.0631667176446E-05
"depressed"	0.000324986906435
"diabetic"	0.000139316915238
"divorced"	0.000105923674257
"immigrant"	3.27259526211719E-05
"christian"	0.002606476523527
"abortion"	0.000313875787388
"attack"	0.000192535795782
"infertile"	1.39985625356113E-05
"transgender"	2.72714116890199E-05
"jewish"	0.000600217864673
"homosexual"	0.000241553631669
"uneducated"	8.26611310899653E-05
"psoriasis"	0.000821464179394
"unemployed"	0.000174922052311
"molested"	0.000160700841012
"poor"	0.000445260125902
"laborer"	0.00062972227753
"server"	0.000262176625099
"fat"	0.000518511001296
"incontinent"	5.38019588221598E-05
"prostitute"	2.36898298556289E-05
"pierced"	0.000232431146229
"muslim"	0.000109682309071
"polygamous"	2.82943120126471E-05
"smoker"	5.96705544282391E-05
"alien"	2.01111089073167E-05
"hiv"	7.39851294394815E-05
"herpes"	0.00012379623764
"dealer"	0.00016807321796
