Category	Average frequency	Word	Decade
autistic	6.713019979957632e-06	compulsive	1990
bipolar	6.632710506998316e-06	psychotic	1990
blind	1.6407396568231897e-05	unable	1990
cleft	8.72099029297497e-06	deformity	1990
deaf	6.987227850446065e-06	disabled	1990
scarred	4.186554213645781e-06	mutilated	1990
retarded	4.503342107049995e-06	intellectually	1990
disabled	1.4704830735684794e-06	disability	1990
schizophrenic	4.872701040422077e-06	splitpersonality	1990
short	0.00012932406796135892	shorter	1990
mute	7.820492638514329e-06	muffled	1990
stroke	2.2470245371811628e-06	delusion	1990
unattractive	4.085128501448864e-06	sickly	1990
wheelchair	3.3234085162049144e-06	disabled	1990
alcoholic	6.140645027067451e-06	sober	1990
std	2.7768201104410586e-05	transmitted	1990
drug	8.379725659834253e-06	drugaddict	1990
criminal	1.6962603313452054e-05	indict	1990
gang	7.512053808167292e-06	syndicate	1990
homeless	1.4998431925482015e-05	orphans	1990
paroled	1.2640583445876342e-05	discharge	1990
molestor	1.3355547561198863e-05	sexually	1990
asian	4.741878505300447e-06	brownie	1990
black	1.2457356237828117e-05	nairobi	1990
latino	8.120046837195003e-06	haiti	1990
mideast	1.1752319523740078e-05	muscat	1990
multiracial	1.7379904972575703e-06	coloured	1990
native	4.140356401793877e-06	cheyenne	1990
old	5.392796434445683e-05	venerable	1990
indian	4.72723828569921e-06	burmese	1990
asexual	5.176246509034512e-07	agamous	1990
atheist	1.3753328331643265e-06	nonconforming	1990
cancer	5.063847900052481e-06	cancerpatient	1990
depressed	9.895221550491248e-06	suffer	1990
diabetic	7.958816425559318e-06	restlessness	1990
divorced	1.0525208740797144e-05	dissolution	1990
immigrant	3.3449752834814463e-06	immigration	1990
christian	5.418642818724636e-05	hope	1990
abortion	1.5253422625899156e-05	unwanted	1990
attack	2.664851481330493e-05	blood	1990
infertile	8.24809502882594e-07	antinatalism	1990
transgender	1.8858608978560178e-06	hijra	1990
jewish	3.319924952882715e-05	jews	1990
homosexual	5.563875116263276e-06	homophile	1990
uneducated	2.1774746942788198e-06	inerudite	1990
psoriasis	1.9196166856481198e-05	wart	1990
unemployed	1.635240397012804e-05	welfare	1990
molested	1.4984408735765956e-05	rape	1990
poor	1.347018633002532e-05	beg	1990
laborer	4.381517725043335e-05	tiler	1990
server	6.039528071281649e-05	public	1990
fat	1.1350783449498188e-05	pudgy	1990
incontinent	5.986757252194069e-06	incontinence	1990
prostitute	2.908973034797244e-06	prostitutes	1990
pierced	1.7521897884978262e-05	piercings	1990
muslim	1.8748314362890442e-05	secular	1990
polygamous	2.473501058937623e-06	somalia	1990
smoker	3.872519621927358e-06	chronic	1990
alien	1.39012619069077e-06	noncitizen	1990
hiv	8.119720911925957e-06	disease	1990
herpes	7.869083571641835e-06	hiv	1990
dealer	1.0862148227471522e-05	bagman	1990
