Label	Valence	Min_val	Max_val
autistic	-0.35731472235836004	-0.6868973310352623	0.0
bipolar	-0.29128860429196696	-0.9406253697597277	0.0
blind	-0.3560852261239422	-0.8332585853400191	0.30337398072503924
cleft	-0.5439513238339481	-0.9958631170246223	-0.15280299601736133
deaf	-0.06833916948165983	-0.40140155506787206	0.3489360974687299
scarred	-0.7610899863726714	-1.186788802630927	0.0
retarded	-0.3500180931902746	-0.9297480325407815	0.11016880408663488
disabled	-0.1665368013846591	-1.0488617719362268	0.0
schizophrenic	-0.33667299964565134	-0.7799873159184205	0.0
short	0.11036531366635464	-0.3796936889948338	0.503513039569762
mute	-0.24218021265187653	-0.4457543807348168	0.0
stroke	-0.38309874433885716	-0.8492526920684531	0.0
unattractive	-0.43858173649984655	-0.8395166410622941	0.0
wheelchair	-0.3496032966142132	-1.0908211779793413	0.11762248250916191
alcoholic	-0.1970910530798085	-0.8769744806180352	0.2858389445558535
std	-0.4407861316650246	-0.9375212002215029	0.5296863397119147
drug	-0.19830634223601168	-0.8543385395787021	0.3104552183846243
criminal	-0.6279373932859464	-1.0273096137984334	0.03895312026357364
gang	-0.5361642733366394	-0.8846426719997438	0.0
homeless	0.06358623919065376	-0.4021833430692446	0.4712529989409552
paroled	-0.46396575283131103	-0.8968224973699293	0.0
molestor	-0.40170511188412544	-0.9735673496876143	0.4697051781527466
asian	-0.11685024447749259	-0.45339570944672375	0.15651568070692115
black	-0.11837883062104375	-0.4247700827426433	0.0982768614736017
latino	-0.08720542286300847	-0.4612792647924997	0.3226159028605972
mideast	-0.013523949692109802	-0.4713098102243753	0.3157105693139357
multiracial	0.1232680605291431	0.0	0.5002880137494052
native	-0.03556641542919391	-0.46027700158327295	0.31061252437175996
old	0.297134940203735	-0.5166182944660074	0.4612096498331406
indian	-0.016700263768655868	-0.2554469735831124	0.3260952450098119
asexual	0.028864423631415104	-0.1164321672681012	0.563389656235039
atheist	0.03417302690082655	-0.2139010677528558	0.4059393807458449
cancer	-0.354243823185881	-1.1604388941750696	0.2732545862637889
depressed	-0.3141621555347608	-0.944499126399171	0.5799857771422127
diabetic	-0.4322403216202356	-0.9930919025634316	0.3261051459127728
divorced	-0.025440723590474768	-0.4505628060159863	0.37664619867671706
immigrant	-0.09876144816065052	-0.616434810939189	0.3137976043732971
christian	0.29637493097331313	-0.4519242072051493	0.553969208690374
abortion	-0.346812995240056	-0.8184262572631648	0.5176932861541611
attack	-0.4640866779909715	-1.0555620213992036	0.30820582803143876
infertile	-0.14691377602846947	-0.5372373118768917	0.02829530896837236
transgender	-0.02057898775965985	-0.3147071560287878	0.23365327628385746
jewish	0.06921871281115408	-0.4522620728517901	0.4301032453058661
homosexual	0.4120479589038135	-0.3006295832616976	0.9865672140849806
uneducated	-0.12832140684127416	-0.5660110025308901	0.5507802433386061
psoriasis	-0.585025784889315	-1.1753823703950264	0.3117762844470736
unemployed	0.05336516918476841	-0.38361589483870523	0.5250828004224897
molested	-0.5173307986960107	-1.007502395171419	0.47407165401744067
poor	-0.1277969601682854	-0.6181903832599563	0.5398785300594697
laborer	-0.09036724266987703	-0.3771522769790349	0.4321086013646285
server	0.2772060122908885	-0.42268893316108613	0.7646446905292786
fat	-0.20993563059210038	-0.5606402630641132	0.06142184825851112
incontinent	-0.3182649836099656	-0.8730914995691671	0.17424796722133357
prostitute	0.2531942385925776	-0.4286496726642849	0.8400937683499001
pierced	-0.39973771015476883	-0.6356831013320536	-0.008124358667319868
muslim	-0.05154276718395332	-0.5287663251966145	0.21217514199379175
polygamous	-0.05277078731495359	-0.3587157033883541	0.297296662707991
smoker	-0.2930911896627899	-0.8796331410234397	0.07917454735299803
alien	-0.2271210305977826	-1.2190546117706509	0.17204092052617853
hiv	-0.589290006447778	-1.1074419313384374	0.0
herpes	-0.5326651850248335	-0.9855837537462178	0.20759266891115394
dealer	0.01535533165274389	-0.4943918428243597	0.5842991095418214
